Timestamp,AGE,OCCUPATION,ANNUAL INCOME,CITY,GENDER,INTERESTS,DAILY_HOUR_ONLINE,MOST_TIME_ON,PREV_SUBSCRIPTIONS,SCROLL,ABOUT_US,SUBSCRIBE,SEARCH,CAT_Internet,CAT_Technology,CAT_Finance,CAT_Health,CAT_Society,REGISTER,VOTE_ARTICLE,SHARE_MEDIA,LEAVE
7/20/2021 20:08:02,23,Unemployed,0,Kolkata,Female,"Music & Dance, Technology and Internet, Stocks, Shares & Finances",10,"Instagram, Google Browsing",No,5,1,1,2,1,1,1,1,1,1,1,2,5
7/20/2021 20:09:49,24,Employed in a distribution company,500000,Gurgaon,Male,"Sports, Arts & Craft, Music & Dance, Books & Movies, Technology and Internet, Current Affairs, Stocks, Shares & Finances",3,Instagram,Yes,5,4,3,2,1,3,4,5,4,3,4,4,4
7/20/2021 20:15:29,22,Business/start-up Owner,400000,New delhi,Male,"Stocks, Shares & Finances",2,"Instagram, Google Browsing",No,4,5,4,5,5,5,5,5,5,5,4,4,4
7/20/2021 20:17:07,22,Student,700000,Delhi,Male,"Sports, Current Affairs, Stocks, Shares & Finances",10,"Instagram, Google Browsing",No,5,3,4,4,5,4,4,4,4,5,4,5,4
7/20/2021 20:27:10,26,Student,400000,Muzaffarpur,Male,"Arts & Craft, Music & Dance, Stocks, Shares & Finances",8,Ms team,No,1,1,1,1,1,5,5,5,5,5,5,5,5
7/20/2021 20:36:51,25,Student,0,AGRA,Male,"Sports, Technology and Internet, Current Affairs, Politics and Law, Stocks, Shares & Finances",18,"Instagram, Google Browsing, MS Teams",Yes,5,5,5,4,5,4,5,4,4,4,5,4,5
7/20/2021 21:01:31,23,Student,50000,Patna,Male,"Sports, Music & Dance, Books & Movies, Technology and Internet, Stocks, Shares & Finances",5,Instagram,Yes,4,4,2,3,3,2,3,2,2,3,2,2,2
7/20/2021 21:03:07,23,Student,,Lucknow,Female,"Music & Dance, Books & Movies, Technology and Internet, Current Affairs, Politics and Law, Stocks, Shares & Finances",1,"Facebook, Google Browsing, Pinterest",Yes,4,4,5,5,5,5,5,5,5,4,4,5,3
7/20/2021 21:10:16,21,Student,15000,Mainpuri,Male,"Sports, Arts & Craft, Music & Dance, Books & Movies, Current Affairs, Politics and Law, Stocks, Shares & Finances",6,Google Browsing,Yes,3,5,2,3,3,3,3,2,3,3,3,3,3
7/20/2021 21:36:00,21,Student,300000,Varanasi,Male,Sports,17,Google Browsing,No,5,1,1,1,1,1,1,1,1,1,1,1,2
7/20/2021 21:51:58,19,Student,,Lucknow,Male,Technology and Internet,12,"Instagram, Google Browsing",Yes,5,2,3,2,3,3,2,3,2,1,2,2,1
7/20/2021 22:39:37,23,Student,0,New Delhi,Female,"Sports, Arts & Craft, Music & Dance, Books & Movies, Current Affairs",5,Whatsapp,No,3,4,4,4,4,3,4,4,3,4,3,4,3
7/20/2021 22:45:34,22,Student,0,Kolkata,Female,"Sports, Music & Dance, Books & Movies, Current Affairs",12,Linkedin,No,4,5,3,3,4,5,3,5,4,5,4,4,3
7/21/2021 8:11:57,23,Student,10000,khatima,Male,"Sports, Arts & Craft, Technology and Internet, Current Affairs",10,"Instagram, Google Browsing, pubg and whatsapp",No,4,2,2,4,4,4,2,2,4,3,3,3,3
7/21/2021 16:39:25,23,Unemployed,0,Jalandhar,Male,"Sports, Arts & Craft, Music & Dance, Books & Movies, Technology and Internet, Current Affairs, Politics and Law",4,"Instagram, Facebook, Whatsapp",Yes,1,2,1,2,4,2,3,3,4,3,4,3,5
7/22/2021 15:05:26,23,Student,100000,Nasik,Male,"Sports, Music & Dance, Books & Movies, Politics and Law, Stocks, Shares & Finances",4,"Instagram, Pinterest, Whatsapp",Yes,3,3,3,3,3,4,3,3,4,4,3,4,3
